,round,MSE,MAE,MAPE (%),RMSE,runtime_sec,status,strategy,strategy_label
217,18,0.0006051534171757485,0.006451690049235264,6.845205857322097,0.02459986620239526,1.6861877000010281,ok,fill_mean,Fill with column mean
218,19,0.0007640179581413911,0.010527480454350617,6.777485625124107,0.027640874771638308,1.7510590000001685,ok,fill_mean,Fill with column mean
219,20,0.0007949558324403387,0.013720324188024897,8.470442523401884,0.028194961117907907,1.629320899999584,ok,fill_mean,Fill with column mean
220,21,0.0007913496971225562,0.013662138290541272,7.515838074480451,0.028130938433023455,1.6781642000005377,ok,fill_mean,Fill with column mean
221,22,0.0011419630449748426,0.022991607813040927,15.349789093490287,0.03379294371573513,1.6883183999998437,ok,fill_mean,Fill with column mean
222,23,0.0006977533779136371,0.009714141357142759,7.7598697153509075,0.026415021823077055,1.4782628000011755,ok,fill_mean,Fill with column mean
223,24,0.0006831963579920137,0.008638190506950876,4.157484000129312,0.026138025135652727,1.4784116000009817,ok,fill_mean,Fill with column mean
224,25,0.0007709834390538117,0.01164473690562713,8.726604138289195,0.02776658853827405,1.4809302000012394,ok,fill_mean,Fill with column mean
225,26,0.0008384881906577049,0.016496040738548903,8.544561422290945,0.028956660557766408,2.098037599998861,ok,fill_mean,Fill with column mean
226,27,0.0006009035115986004,0.007886925921569919,8.047569352959645,0.024513333343276683,1.5382343000001129,ok,fill_mean,Fill with column mean
227,28,0.0006659587055401791,0.00973857325789813,7.038930928824872,0.02580617572481787,1.7533772000006138,ok,fill_mean,Fill with column mean
228,29,0.0006528555368791373,0.01000751308075774,9.202084744579478,0.025551037882621076,1.5301709000013943,ok,fill_mean,Fill with column mean
229,30,0.0006965784133392975,0.01005280970270646,6.262276511334068,0.026392771990438924,1.547683999999208,ok,fill_mean,Fill with column mean
230,31,0.0006828087999510946,0.01004617979110242,8.2647579684669,0.026130610401425655,1.9123008000005939,ok,fill_mean,Fill with column mean
231,32,0.0011006530733195508,0.01774194917828907,9.173316659895473,0.03317609189340346,1.9622516999988875,ok,fill_mean,Fill with column mean
232,33,0.000810034051984856,0.012809744225773642,7.159891623491848,0.028461097167622615,1.6438109999999142,ok,fill_mean,Fill with column mean
233,34,0.0007802478925125234,0.012596471599014301,8.119330821220874,0.027932917722868184,1.553237000000081,ok,fill_mean,Fill with column mean
234,35,0.000850236927690381,0.013185809585902313,9.063737658640079,0.029158822467486252,1.6544654999997874,ok,fill_mean,Fill with column mean
235,36,0.0007763275590226118,0.011425823059132145,6.72426162142188,0.02786265527588158,1.6105497000007745,ok,fill_mean,Fill with column mean
236,37,0.0008202203960282098,0.012749032472912659,8.123907350678149,0.028639490149585584,1.6072487000001274,ok,fill_mean,Fill with column mean
237,38,0.0008462462790074192,0.013795095799490748,7.4762000366564125,0.029090312459776353,1.6474386999998387,ok,fill_mean,Fill with column mean
238,39,0.0011289504004584484,0.019859190910372644,8.820092506877582,0.03359985714937563,1.4963888999991468,ok,fill_mean,Fill with column mean
239,40,0.0008294125759965288,0.013200684115073389,6.694992941336142,0.02879952388489311,2.157680199999959,ok,fill_mean,Fill with column mean
240,41,0.0007398760013222438,0.011252740919235251,7.739768349043996,0.02720066178096121,1.6154172999995353,ok,fill_mean,Fill with column mean
241,42,0.0007741502675388738,0.010906929119404168,7.36721262589268,0.027823555982995303,1.497823800000333,ok,fill_mean,Fill with column mean
242,43,0.0011847931409601806,0.021515589571842696,9.847943777524733,0.034420824234178075,1.9710549999999785,ok,fill_mean,Fill with column mean
243,44,0.0007571351292180031,0.010992866972887604,5.9333413353588105,0.02751608855229978,1.5820985999998811,ok,fill_mean,Fill with column mean
244,45,0.0008108604854834277,0.012219587381819075,8.684614533329205,0.028475612117800517,1.498068200000489,ok,fill_mean,Fill with column mean
245,46,0.0008324566856643833,0.012639362176135538,7.137686305346621,0.028852325481048893,1.5622019000002183,ok,fill_mean,Fill with column mean
246,47,0.0006764789337962255,0.010200001797981657,9.514684710653645,0.02600920863456298,1.6311984000003577,ok,fill_mean,Fill with column mean
247,48,0.0007746304473677434,0.011968104671466397,9.159270290522157,0.027832183661504955,1.6249459000009665,ok,fill_mean,Fill with column mean
248,49,0.0008031325746426003,0.01252216807338708,5.422767082057792,0.02833959376283648,1.598941600001126,ok,fill_mean,Fill with column mean
