,round,model_id,MSE,MAE,MAPE (%),RMSE,runtime_sec,status,strategy,strategy_label
424,71,user_4,0.0010568020263938486,0.01495530781886063,3.8128745738974152,0.03250849160440774,9.977609699999448,ok,ffill,Forward fill
430,72,user_4,0.0009181242345440909,0.011679541061682668,3.151097864845584,0.03030056492120388,10.151382600000034,ok,ffill,Forward fill
436,73,user_4,0.0007879912586877224,0.010117518712134817,3.6265418034579477,0.028071181996626407,10.209804499999336,ok,ffill,Forward fill
442,74,user_4,0.0008704598376828501,0.012195569307562291,3.9547997532412587,0.029503556356528446,10.031397699999616,ok,ffill,Forward fill
448,75,user_4,0.0008496791405684746,0.009678570758932092,2.6345679980026517,0.02914925626098331,10.07641220000005,ok,ffill,Forward fill
454,76,user_4,0.0008594627458490559,0.01076709477394752,3.2089834552898884,0.029316595058926198,10.011120199999823,ok,ffill,Forward fill
460,77,user_4,0.0009399066104667434,0.012232238801434177,3.05647183546753,0.030657896380324977,10.750753700000132,ok,ffill,Forward fill
466,78,user_4,0.0007898998836572696,0.012976722277990481,4.825353702915399,0.028105157598869102,10.543982899999719,ok,ffill,Forward fill
472,79,user_4,0.0008466936759756734,0.00824791964611267,1.9711240976125115,0.029098001236780396,10.73123459999988,ok,ffill,Forward fill
478,80,user_4,0.0007699835613963529,0.010839424221818219,4.1180594415635365,0.0277485776463651,10.575713000000178,ok,ffill,Forward fill
484,81,user_4,0.0007960768822646044,0.008479934745062152,2.6776768013466317,0.02821483443624301,10.234751199999664,ok,ffill,Forward fill
490,82,user_4,0.0008852397901551654,0.013835070456827095,4.946886044395,0.029752979517271298,10.544561599999724,ok,ffill,Forward fill
496,83,user_4,0.0007833441037597739,0.009335054172345864,3.1200296485672934,0.02798828511645138,10.535847499999363,ok,ffill,Forward fill
502,84,user_4,0.0007902778142607251,0.01407681588658827,5.428736122188623,0.028111880304610096,10.412478000000192,ok,ffill,Forward fill
508,85,user_4,0.0008546375586318,0.013800741036920718,5.372767850377982,0.029234184760854886,10.539707900000394,ok,ffill,Forward fill
514,86,user_4,0.0007799316097791456,0.009588850050295342,3.4426940100153063,0.027927255679338518,10.249849200000426,ok,ffill,Forward fill
520,87,user_4,0.0007773017032489979,0.011044435817619278,4.169967753862457,0.02788013097618083,9.856133500000396,ok,ffill,Forward fill
526,88,user_4,0.0008611415572687281,0.01011138233369735,2.75217337100263,0.029345213532512047,10.256864900000437,ok,ffill,Forward fill
532,89,user_4,0.0008591930493422281,0.01166708799356162,3.785975652026876,0.02931199497376847,10.157074499999908,ok,ffill,Forward fill
538,90,user_4,0.0008475068468302282,0.009739780743595402,2.6833824455246464,0.02911197085101296,10.329640299999483,ok,ffill,Forward fill
544,91,user_4,0.0008257387705842985,0.010049997543940224,2.99410130518273,0.028735670700095004,9.905382800000552,ok,ffill,Forward fill
550,92,user_4,0.0008039638000926515,0.012372238522513871,4.9299103040589465,0.028354255414181687,10.2448488,ok,ffill,Forward fill
556,93,user_4,0.0007520161518529308,0.009845314812643514,3.730765153472108,0.027422912898759148,9.956338099999812,ok,ffill,Forward fill
562,94,user_4,0.0008706505081055106,0.010313540997214711,2.611064296750795,0.02950678749212646,10.065824499999508,ok,ffill,Forward fill
568,95,user_4,0.0007470042577992869,0.008739096778563259,3.022627784502823,0.027331378629686556,10.517353500000354,ok,ffill,Forward fill
574,96,user_4,0.0007871393755680536,0.011093642640678273,4.56045190123494,0.02805600426946171,10.387824200000068,ok,ffill,Forward fill
580,97,user_4,0.0008127658881823752,0.008216494389953222,1.9522152033676676,0.02850904923322374,10.332603599998947,ok,ffill,Forward fill
586,98,user_4,0.0008179260668467567,0.009487297389535916,2.920982166788078,0.028599406756902437,10.337539599999218,ok,ffill,Forward fill
592,99,user_4,0.0008576837104860018,0.010264497047997777,2.7237188340095124,0.029286237561113954,10.638808900001095,ok,ffill,Forward fill
598,100,user_4,0.0008095196078982015,0.008712392101664794,2.476160718260301,0.0284520580608539,10.324337100000776,ok,ffill,Forward fill
2405,1,global_aggregated,0.0007167764112890071,0.0162858297080224,21.306292489828824,0.026772680315743643,1.7676621999999043,ok,predictive_imputer,Predictive (RandomForest)
2411,2,global_aggregated,0.0005912959857613322,0.005386495905099204,8.177779801638485,0.02431657841394081,1.6598169000026246,ok,predictive_imputer,Predictive (RandomForest)
2417,3,global_aggregated,0.0006087097992110013,0.00881771785336385,8.331322112091835,0.024672044893178216,1.5341492000006838,ok,predictive_imputer,Predictive (RandomForest)
2423,4,global_aggregated,0.0006227215439566551,0.006930147832921571,5.182576784911463,0.02495438927236359,2.0151838999991014,ok,predictive_imputer,Predictive (RandomForest)
2429,5,global_aggregated,0.0006509478770935914,0.0074268810489254945,6.102649517198362,0.025513680195016777,1.6399128000011842,ok,predictive_imputer,Predictive (RandomForest)
2435,6,global_aggregated,0.0006800479125264931,0.00900077255392658,7.293107855324855,0.026077728285387382,1.9584753999988607,ok,predictive_imputer,Predictive (RandomForest)
2441,7,global_aggregated,0.0007078985849276396,0.008209834029741191,4.170977423935093,0.026606363617143167,1.7901277000019036,ok,predictive_imputer,Predictive (RandomForest)
2447,8,global_aggregated,0.0007199200470583638,0.008830921795622702,6.651132493997506,0.02683132585353105,2.0926713999979256,ok,predictive_imputer,Predictive (RandomForest)
2453,9,global_aggregated,0.0007706954161304151,0.01117982102797205,6.985956762052776,0.02776140155198248,1.6039478999991843,ok,predictive_imputer,Predictive (RandomForest)
2459,10,global_aggregated,0.0008360092496521614,0.013053780294804359,7.984739610417803,0.028913824542114133,1.7310165999988385,ok,predictive_imputer,Predictive (RandomForest)
2465,11,global_aggregated,0.0006283485128055989,0.007809863389049868,7.643206618700171,0.025066880795296387,1.6480295000001206,ok,predictive_imputer,Predictive (RandomForest)
2471,12,global_aggregated,0.0006665969136274563,0.006949560249970558,5.5466710399390395,0.025818538177585816,1.68534119999822,ok,predictive_imputer,Predictive (RandomForest)
2477,13,global_aggregated,0.0006511511744769432,0.007066305921298388,5.830471917733295,0.02551766396982575,2.295480700002372,ok,predictive_imputer,Predictive (RandomForest)
2483,14,global_aggregated,0.0006618182110296973,0.008585291089680437,8.038185196257515,0.02572582770349085,1.5110903999993752,ok,predictive_imputer,Predictive (RandomForest)
2489,15,global_aggregated,0.0006765837650199038,0.01092684733455636,12.521517841237662,0.02601122382779987,1.7031628000004275,ok,predictive_imputer,Predictive (RandomForest)
2495,16,global_aggregated,0.0006783346957535934,0.010466633998633996,12.616596403260413,0.02604485929609898,1.545148600001994,ok,predictive_imputer,Predictive (RandomForest)
2501,17,global_aggregated,0.0007237429374001955,0.0094295065155787,6.9712338221203405,0.02690247084191702,1.7828040000022156,ok,predictive_imputer,Predictive (RandomForest)
2507,18,global_aggregated,0.0006608896581076482,0.010399741395046675,12.658565372483357,0.025707774273702657,1.811623800000234,ok,predictive_imputer,Predictive (RandomForest)
2513,19,global_aggregated,0.0007035889067531096,0.00872537591235282,7.748294931599467,0.026525250361742293,1.6467616000009002,ok,predictive_imputer,Predictive (RandomForest)
2519,20,global_aggregated,0.0007497141383343418,0.01061678208659112,11.185926458932464,0.02738090828176344,1.864906199996767,ok,predictive_imputer,Predictive (RandomForest)
2525,21,global_aggregated,0.0006957526870680639,0.011799559351289063,16.093630365039058,0.026377124313845583,1.52848559999984,ok,predictive_imputer,Predictive (RandomForest)
2531,22,global_aggregated,0.0006617758361728281,0.010936105628379978,14.27112795508217,0.02572500410442782,1.7037865999991482,ok,predictive_imputer,Predictive (RandomForest)
2537,23,global_aggregated,0.000665122476169562,0.008638409460826887,10.586479748283868,0.02578996851819641,1.9016360999994504,ok,predictive_imputer,Predictive (RandomForest)
2543,24,global_aggregated,0.0006703022063633179,0.011256974663327058,16.97740740489295,0.025890195178161903,2.0860955999996804,ok,predictive_imputer,Predictive (RandomForest)
2549,25,global_aggregated,0.0006927314380181908,0.011512939263445007,15.331786020300257,0.026319791754840897,1.790366000001086,ok,predictive_imputer,Predictive (RandomForest)
2555,26,global_aggregated,0.0006937513992107953,0.010975796306901866,18.31464866427525,0.026339160943560737,2.0241755999995803,ok,predictive_imputer,Predictive (RandomForest)
2561,27,global_aggregated,0.0007353800720188792,0.014962742148075869,22.21097357481948,0.02711789210132084,1.9973128999990877,ok,predictive_imputer,Predictive (RandomForest)
2567,28,global_aggregated,0.0008242371878708929,0.014638318200766099,24.331386180199363,0.02870953130705712,1.6538594999983616,ok,predictive_imputer,Predictive (RandomForest)
2573,29,global_aggregated,0.0007325867230227261,0.01258006033914468,19.43069209804226,0.02706633929852218,1.6848185999988345,ok,predictive_imputer,Predictive (RandomForest)
2579,30,global_aggregated,0.0007742038181412043,0.01461541097801235,24.814486483978328,0.02782451829126974,1.6550788999993529,ok,predictive_imputer,Predictive (RandomForest)
2585,31,global_aggregated,0.0008370941341722433,0.016125614238047564,23.163905395651703,0.028932579113729963,1.669811199997639,ok,predictive_imputer,Predictive (RandomForest)
2591,32,global_aggregated,0.0008570100288322029,0.01632587284047637,27.113133968627746,0.029274733625298845,1.6127199000002292,ok,predictive_imputer,Predictive (RandomForest)
2597,33,global_aggregated,0.000765753533376141,0.013576286156809711,22.417385910564295,0.027672252047423625,1.6072491999984777,ok,predictive_imputer,Predictive (RandomForest)
2603,34,global_aggregated,0.0008158495125782112,0.015522985772376298,27.4217164100197,0.028563079535971102,1.7242475999992166,ok,predictive_imputer,Predictive (RandomForest)
2609,35,global_aggregated,0.000945743088032158,0.0193412826446778,32.90414488685025,0.03075293625057871,1.7048959999992803,ok,predictive_imputer,Predictive (RandomForest)
2615,36,global_aggregated,0.0008461299838426816,0.0158679573819557,26.986014971422197,0.02908831352695927,1.5233525999974518,ok,predictive_imputer,Predictive (RandomForest)
2621,37,global_aggregated,0.0009126016853273543,0.017326820343005648,29.721073341961418,0.03020929799461342,2.138861299998098,ok,predictive_imputer,Predictive (RandomForest)
2627,38,global_aggregated,0.0008253756193350384,0.015703241260118784,28.626910221190606,0.02872935118193654,1.6010908000025665,ok,predictive_imputer,Predictive (RandomForest)
2633,39,global_aggregated,0.0008929652987485739,0.01663171708836408,29.62318467629798,0.029882524972775874,1.6167487999991863,ok,predictive_imputer,Predictive (RandomForest)
2639,40,global_aggregated,0.0010047308978581517,0.01990209000150439,34.29284385098226,0.03169749040315576,2.10981769999853,ok,predictive_imputer,Predictive (RandomForest)
2645,41,global_aggregated,0.0009166748729108271,0.017564887055693118,30.967450307351598,0.03027663906233364,1.8506047999981092,ok,predictive_imputer,Predictive (RandomForest)
2651,42,global_aggregated,0.0008730479930936706,0.015780072067979982,28.923218373549126,0.029547385554286706,1.8689823000022443,ok,predictive_imputer,Predictive (RandomForest)
2657,43,global_aggregated,0.0007910284606681614,0.013834137422411998,22.332626977834963,0.028125228188730513,1.6402510000007169,ok,predictive_imputer,Predictive (RandomForest)
2663,44,global_aggregated,0.000894113796822608,0.017357208705779448,30.318491595383385,0.029901735682441713,1.739658899998176,ok,predictive_imputer,Predictive (RandomForest)
2669,45,global_aggregated,0.0008212299858963845,0.014942937150855031,26.275525791337767,0.028657110564332625,2.16227969999818,ok,predictive_imputer,Predictive (RandomForest)
2675,46,global_aggregated,0.0009908213652365218,0.018636927069958488,30.628003734211863,0.031477315089386546,1.8536725000012666,ok,predictive_imputer,Predictive (RandomForest)
2681,47,global_aggregated,0.000767630041054289,0.013995799649233072,22.44854511917873,0.027706137245279955,1.7953721999983827,ok,predictive_imputer,Predictive (RandomForest)
2687,48,global_aggregated,0.0008258674777459078,0.016387161914251328,27.734599217342907,0.028737910114444785,1.8430819999994128,ok,predictive_imputer,Predictive (RandomForest)
2693,49,global_aggregated,0.0008840268490183045,0.01698483408723763,27.985588786859957,0.029732589006312662,1.5101178000004438,ok,predictive_imputer,Predictive (RandomForest)
2699,50,global_aggregated,0.0008692306986327958,0.018021303036218655,29.36668276135711,0.02948271864385637,1.719150400000217,ok,predictive_imputer,Predictive (RandomForest)
2705,51,global_aggregated,0.0009914895599261212,0.021234707919729253,33.76787875575419,0.03148792720910859,1.7175559000024805,ok,predictive_imputer,Predictive (RandomForest)
2711,52,global_aggregated,0.0008769190785159367,0.0169248636351112,28.386588390675037,0.029612819496223873,1.6970121000013023,ok,predictive_imputer,Predictive (RandomForest)
2717,53,global_aggregated,0.0008194269973296397,0.014891171804308198,26.180935473229134,0.028625635317484917,1.7613125999996555,ok,predictive_imputer,Predictive (RandomForest)
2723,54,global_aggregated,0.0009270402150022692,0.01815296052871579,30.252835107030435,0.030447335105100237,1.6217771000010544,ok,predictive_imputer,Predictive (RandomForest)
2729,55,global_aggregated,0.0010980796398123225,0.02206771074325146,36.856039103160676,0.03313728473807597,1.899771199998213,ok,predictive_imputer,Predictive (RandomForest)
2735,56,global_aggregated,0.000978594561993161,0.019975602755312117,34.011235612718714,0.031282496095950546,1.5534557999999379,ok,predictive_imputer,Predictive (RandomForest)
2741,57,global_aggregated,0.0009240135712886401,0.018767974118944812,31.87713955883476,0.030397591537630744,1.6121228999982122,ok,predictive_imputer,Predictive (RandomForest)
2747,58,global_aggregated,0.0008883612964354485,0.016630050454513053,30.58067561980605,0.02980539039226711,1.7326706000021659,ok,predictive_imputer,Predictive (RandomForest)
2753,59,global_aggregated,0.0009186821033475156,0.017500595360326998,30.24448535475588,0.030309769107459656,1.8335197999986121,ok,predictive_imputer,Predictive (RandomForest)
2759,60,global_aggregated,0.001060703853762688,0.020730743756540073,36.09250849684994,0.03256844874664263,2.0476673000011942,ok,predictive_imputer,Predictive (RandomForest)
2765,61,global_aggregated,0.0010215501916292077,0.02022128688225502,35.90476993982094,0.031961698822640945,1.790286700001161,ok,predictive_imputer,Predictive (RandomForest)
2771,62,global_aggregated,0.0009558348081428075,0.018376298963119653,31.421280248754464,0.030916578208831706,1.818557200000214,ok,predictive_imputer,Predictive (RandomForest)
2777,63,global_aggregated,0.0009552998755792855,0.018619612021535017,33.43979958154666,0.030907925772838355,2.141939299999649,ok,predictive_imputer,Predictive (RandomForest)
2783,64,global_aggregated,0.0009268376474773237,0.018888131633599016,32.302798234487035,0.0304440084002965,1.66713339999842,ok,predictive_imputer,Predictive (RandomForest)
2789,65,global_aggregated,0.0008720770930876329,0.015902549569925078,29.534733139897597,0.029530951442302583,1.8874735999997938,ok,predictive_imputer,Predictive (RandomForest)
2795,66,global_aggregated,0.0009925217230907176,0.019204636425413958,32.195014932617475,0.03150431276969421,1.7850670000007085,ok,predictive_imputer,Predictive (RandomForest)
2801,67,global_aggregated,0.000903266841512936,0.017229645757246316,31.1511045648526,0.030054398039437356,1.7121873000032792,ok,predictive_imputer,Predictive (RandomForest)
2807,68,global_aggregated,0.0011709759902357305,0.023428999094226823,40.05694087249559,0.034219526446690206,1.5128695999992487,ok,predictive_imputer,Predictive (RandomForest)
2813,69,global_aggregated,0.0010547031476982158,0.0209323214314064,36.226824733133476,0.03247619355309695,1.7853649000026053,ok,predictive_imputer,Predictive (RandomForest)
2819,70,global_aggregated,0.0010583634344603359,0.020090999406637687,36.94732822006934,0.03253249812818462,1.4815787999978056,ok,predictive_imputer,Predictive (RandomForest)
2825,71,global_aggregated,0.0011747736529474785,0.024237866881279223,39.1858757818919,0.03427497123189863,1.4872216999974626,ok,predictive_imputer,Predictive (RandomForest)
2831,72,global_aggregated,0.0013005484573205151,0.02587411353930854,43.10968060838096,0.03606311768719553,1.5677365999981703,ok,predictive_imputer,Predictive (RandomForest)
2837,73,global_aggregated,0.0012256813077829735,0.024772669649874048,41.14585429797414,0.03500973161540907,1.680243300001166,ok,predictive_imputer,Predictive (RandomForest)
